KeyElement	Subject	RelationshipCategory	Predicate	Cardinality				
SysTherCycleDrugsImmuno	SysTherCycleDrugsImmuno	ChildElement-Of	SysTherCourse	OneToMany		SysTherCycleDrugsImmuno	 part-of 	SysTherCourse	
InterventionalProcedure	InterventionalProcedure	ChildElement-Of	Patient	Many to One		InterventionalProcedure	 part-of 	Patient	
InterventionalProcedure	InterventionalProcedure	InstanceAssociated-with	Diagnosis and Staging	One to Many	*	InterventionalProcedure	 characteristic-of 	Diagnosis and Staging	
InterventionalProcedure	RTCourse	InstanceAssociated-with	InterventionalProcedure	One to Many	*	RTCourse	 characteristic-of 	InterventionalProcedure	
InterventionalProcedure	SysTherCourse	InstanceAssociated-with	InterventionalProcedure	Many to Many	*	SysTherCourse	 characteristic-of 	InterventionalProcedure	
InterventionalProcedure	Charge	InstanceAssociated-with	InterventionalProcedure	Many to One	*	Charge	 characteristic-of 	InterventionalProcedure	
PatientEncounter	PatientEncounter	ChildElement-Of	Patient	Many to One		PatientEncounter	 part-of 	Patient	
PatientEncounter	PatientEncounter	InstanceAssociated-with	RTCourse	Many to One	*	PatientEncounter	 characteristic-of 	RTCourse	
PatientEncounter	PatientEncounter	InstanceAssociated-with	SysTherCourse	Many to One	*	PatientEncounter	 characteristic-of 	SysTherCourse	
PatientEncounter	PatientEncounter	InstanceAssociated-with	InterventionalProcedure	Many to One	*	PatientEncounter	 characteristic-of 	InterventionalProcedure	
PatientEncounter	Charge	InstanceAssociated-with	PatientEncounter	Many to One	*	Charge	 characteristic-of 	PatientEncounter	
Charge	Charge	ChildElement-Of	Patient	Many to One		Charge	 part-of 	Patient	
Charge	Charge	InstanceAssociated-with	RTCourse	Many to One	*	Charge	 characteristic-of 	RTCourse	
Charge	Charge	InstanceAssociated-with	SysTherCourse	Many to One	*	Charge	 characteristic-of 	SysTherCourse	
Charge	Charge	InstanceAssociated-with	InterventionalProcedure	Many to One	*	Charge	 characteristic-of 	InterventionalProcedure	
Charge	Charge	InstanceAssociated-with	PatientEncounter	Many to One	*	Charge	 characteristic-of 	PatientEncounter	
HCO	HCO_Site	ChildElement-Of	HCO	Many to One		HCO_Site	 part-of 	HCO	
HCO_Site	HCO_Site	ChildElement-Of	HCO	Many to One		HCO_Site	 part-of 	HCO	
HCO_Site	HCO_Site	IsSameAs	RTCourse_Facility	One to One	*	HCO_Site	 characteristic-of 	RTCourse_Facility	
HCO_Site	HCO_Site	IsSameAs	SysTherCourse_Facility	One to One	*	HCO_Site	 characteristic-of 	SysTherCourse_Facility	
HCO_Site	HCO_SiteCount	ChildElement-Of	HCO_Site	Many to One		HCO_SiteCount	 part-of 	HCO_Site	
HCO_SiteCount	HCO_SiteCount	ChildElement-Of	HCO_Site	Many to One		HCO_SiteCount	 part-of 	HCO_Site	
HCO_SiteUnitCount	HCO_SiteUnitCount	ChildElement-Of	HCO_Site	Many to One		HCO_SiteUnitCount	 part-of 	HCO_Site	
HCO_SiteUnitUtilizationCount	HCO_SiteUnitUtilizationCount	ChildElement-Of	HCO_Site	Many to One		HCO_SiteUnitUtilizationCount	 part-of 	HCO_Site	
HCO_SiteCapabilities	HCO_SiteCapabilities	ChildElement-Of	HCO_Site	Many to One		HCO_SiteCapabilities	 part-of 	HCO_Site	
HCO_SiteStaff	HCO_SiteStaff	ChildElement-Of	HCO_Site	Many to One		HCO_SiteStaff	 part-of 	HCO_Site	
HCO_SiteImgTrtUnitInfo	HCO_SiteImgTrtUnitInfo	ChildElement-Of	HCO_Site	Many to One		HCO_SiteImgTrtUnitInfo	 part-of 	HCO_Site	
